7 0011_00 7 18 0.76829666
8 0011_00 8 18 0.9054128
9 0011_00 9 18 0.8843518
5 0011_00 5 19 0.9388257
6 0011_00 6 19 0.92277175
7 0011_00 7 19 0.77415186
8 0011_00 8 19 0.90193933
9 0011_00 9 19 0.88704604
5 0011_00 5 20 0.94036275
6 0011_00 6 20 0.9236277
7 0011_00 7 20 0.7763754
8 0011_00 8 20 0.9078151
9 0011_00 9 20 0.88828415
10 0011_00 10 0 0.0
11 0011_00 11 0 0.0
12 0011_00 12 0 0.0
13 0011_00 13 0 0.0
14 0011_00 14 0 0.0
10 0011_00 10 1 0.82652503
11 0011_00 11 1 0.8219212
12 0011_00 12 1 0.71627504
13 0011_00 13 1 0.9593826
14 0011_00 14 1 0.43700916
10 0011_00 10 2 0.8197605
11 0011_00 11 2 0.85180604
12 0011_00 12 2 0.78085226
13 0011_00 13 2 0.9591336
14 0011_00 14 2 0.7765556
10 0011_00 10 3 0.84615386
11 0011_00 11 3 0.8123429
12 0011_00 12 3 0.80324596
13 0011_00 13 3 0.9694845
14 0011_00 14 3 0.88243604
10 0011_00 10 4 0.9004725
11 0011_00 11 4 0.8405316
12 0011_00 12 4 0.8101055
13 0011_00 13 4 0.9680679
14 0011_00 14 4 0.861807
10 0011_00 10 5 0.9030043
11 0011_00 11 5 0.84344745
12 0011_00 12 5 0.8219327
13 0011_00 13 5 0.96917385
14 0011_00 14 5 0.91518927
10 0011_00 10 6 0.9096509
11 0011_00 11 6 0.8474899
12 0011_00 12 6 0.83850753
13 0011_00 13 6 0.9684943
14 0011_00 14 6 0.8680533
10 0011_00 10 7 0.9120685
11 0011_00 11 7 0.8533365
12 0011_00 12 7 0.8535875
13 0011_00 13 7 0.9689034
14 0011_00 14 7 0.92526233
10 0011_00 10 8 0.87969923
11 0011_00 11 8 0.8368951
12 0011_00 12 8 0.8738108
13 0011_00 13 8 0.9695122
14 0011_00 14 8 0.9402627
10 0011_00 10 9 0.8951542
11 0011_00 11 9 0.85085994
12 0011_00 12 9 0.86
13 0011_00 13 9 0.96943766
14 0011_00 14 9 0.9438849
10 0011_00 10 10 0.9070665
11 0011_00 11 10 0.8595203
12 0011_00 12 10 0.86367416
13 0011_00 13 10 0.9689289
14 0011_00 14 10 0.943285
10 0011_00 10 11 0.90522873
11 0011_00 11 11 0.86910087
12 0011_00 12 11 0.8805031
13 0011_00 13 11 0.9673869
14 0011_00 14 11 0.9458207
10 0011_00 10 12 0.9218472
11 0011_00 11 12 0.859328
12 0011_00 12 12 0.8672788
13 0011_00 13 12 0.9677814
14 0011_00 14 12 0.93508375
10 0011_00 10 13 0.9246291
11 0011_00 11 13 0.8560532
12 0011_00 12 13 0.86545855
13 0011_00 13 13 0.9698082
14 0011_00 14 13 0.94316363
10 0011_00 10 14 0.90168214
11 0011_00 11 14 0.8643984
12 0011_00 12 14 0.8675812
13 0011_00 13 14 0.9706362
14 0011_00 14 14 0.93937945
10 0011_00 10 15 0.9135911
11 0011_00 11 15 0.8615538
12 0011_00 12 15 0.8665015
13 0011_00 13 15 0.9706362
14 0011_00 14 15 0.9383463
10 0011_00 10 16 0.91978765
11 0011_00 11 16 0.85978967
12 0011_00 12 16 0.86720264
13 0011_00 13 16 0.9706362
14 0011_00 14 16 0.9438546
10 0011_00 10 17 0.9271758
11 0011_00 11 17 0.8580818
12 0011_00 12 17 0.87299836
13 0011_00 13 17 0.9706362
14 0011_00 14 17 0.9432476
10 0011_00 10 18 0.92033046
11 0011_00 11 18 0.859294
12 0011_00 12 18 0.875105
13 0011_00 13 18 0.9706362
14 0011_00 14 18 0.94047236
10 0011_00 10 19 0.9262319
11 0011_00 11 19 0.87166953
12 0011_00 12 19 0.8908587
13 0011_00 13 19 0.9706362
14 0011_00 14 19 0.9464286
10 0011_00 10 20 0.9333728
11 0011_00 11 20 0.87094396
12 0011_00 12 20 0.88419884
13 0011_00 13 20 0.9706362
14 0011_00 14 20 0.94836956
15 0011_00 15 0 0.0
16 0011_00 16 0 0.0
17 0011_00 17 0 0.0
18 0011_00 18 0 0.0
19 0011_00 19 0 0.0
15 0011_00 15 1 0.550365
16 0011_00 16 1 0.86158836
17 0011_00 17 1 0.6401028
18 0011_00 18 1 0.91485316
19 0011_00 19 1 0.74569905
15 0011_00 15 2 0.62200284
16 0011_00 16 2 0.8753057
17 0011_00 17 2 0.7245406
18 0011_00 18 2 0.92546946
19 0011_00 19 2 0.66870916
15 0011_00 15 3 0.6965649
16 0011_00 16 3 0.8810539
17 0011_00 17 3 0.73308635
18 0011_00 18 3 0.93016595
19 0011_00 19 3 0.7886754
15 0011_00 15 4 0.7120275
16 0011_00 16 4 0.8836544
17 0011_00 17 4 0.67725646
18 0011_00 18 4 0.932846
19 0011_00 19 4 0.8279613
15 0011_00 15 5 0.7671703
16 0011_00 16 5 0.88332856
17 0011_00 17 5 0.73882115
18 0011_00 18 5 0.9398734
19 0011_00 19 5 0.86041915
15 0011_00 15 6 0.7852523
16 0011_00 16 6 0.8855822
17 0011_00 17 6 0.7557728
18 0011_00 18 6 0.94127584
19 0011_00 19 6 0.8649469
15 0011_00 15 7 0.770692
16 0011_00 16 7 0.88400656
17 0011_00 17 7 0.7537699
18 0011_00 18 7 0.93901837
19 0011_00 19 7 0.87406975
15 0011_00 15 8 0.78110445
16 0011_00 16 8 0.886852
